,fdc_id,data_type,description,food_category_id,publication_date,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description,nutrient_id,amount,data_points,derivation_id,min,max,median,loq,footnote,min_year_acquired,nutrient_name,unit_name
6841,406670,branded_food,"KROGER, GEL BITES, BLACK CHERRY",,2019-04-01,The Kroger Co.,,,11110901507,"WATER, GELATIN, CITRIC ACID, NATURAL AND ARTIFICIAL FLAVOR, SODIUM CITRATE, POTASSIUM SORBATE AND SODIUM BENZOATE TO PRESERVE FRESHNESS, SALT, ASPARTAME*, ACESULFAME POTASSIUM, RED 40, BLUE 1",,82.0,g,0.5 cup,En. tyčinky,LI,,2017-10-27,2019-04-01,United States,,,,,1004,0.0,,75.0,,,,,,,Lipid (tuk),G
6842,406670,branded_food,"KROGER, GEL BITES, BLACK CHERRY",,2019-04-01,The Kroger Co.,,,11110901507,"WATER, GELATIN, CITRIC ACID, NATURAL AND ARTIFICIAL FLAVOR, SODIUM CITRATE, POTASSIUM SORBATE AND SODIUM BENZOATE TO PRESERVE FRESHNESS, SALT, ASPARTAME*, ACESULFAME POTASSIUM, RED 40, BLUE 1",,82.0,g,0.5 cup,En. tyčinky,LI,,2017-10-27,2019-04-01,United States,,,,,1003,3.66,,70.0,,,,,,,Protein,G
10624,463878,branded_food,GOURMET TRAIL BITES,,2019-04-01,GOURMETNUT,,,609722843867,"EXTRUDED RICE, OAT FLAKES, GLUCOSE SYRUP, CONCENTRATED GRAPE JUICE, MAPLE SYRUP, BARLEY MALT EXTRACT, ALMONDS, GLYCEROL, CANOLA OIL, DRIED ORANGE, DRIED MANGO, WALNUTS, DRIED CRANBERRIES, SEA SALT, SOY LECITHIN, NATURAL FLAVOR.",,28.0,g,1 ONZ,En. tyčinky,LI,,2017-07-14,2019-04-01,United States,,,,,1004,7.14,,70.0,,,,,,,Lipid (tuk),G
10625,463878,branded_food,GOURMET TRAIL BITES,,2019-04-01,GOURMETNUT,,,609722843867,"EXTRUDED RICE, OAT FLAKES, GLUCOSE SYRUP, CONCENTRATED GRAPE JUICE, MAPLE SYRUP, BARLEY MALT EXTRACT, ALMONDS, GLYCEROL, CANOLA OIL, DRIED ORANGE, DRIED MANGO, WALNUTS, DRIED CRANBERRIES, SEA SALT, SOY LECITHIN, NATURAL FLAVOR.",,28.0,g,1 ONZ,En. tyčinky,LI,,2017-07-14,2019-04-01,United States,,,,,1003,7.14,,70.0,,,,,,,Protein,G
10909,468119,branded_food,FRESH BAR,,2019-04-01,"Five Friends Food, Inc.",,,854644006016,"GLUTEN-FREE OATS * PEARS *HONEY * DRIED CHERRIES (TART CHERRIES, SUGAR) * WHEY PROTEIN CONCENTRATE * APPLE JUICE * WALNUTS * DRY MILK * SUNFLOWER OIL * CINNAMON * VANILLA EXTRACT * ASCORBIC ACID (VITAMIN C).",,68.0,g,1 BAR,En. tyčinky,LI,,2018-04-28,2019-04-01,United States,,,,,1004,7.35,,70.0,,,,,,,Lipid (tuk),G
10910,468119,branded_food,FRESH BAR,,2019-04-01,"Five Friends Food, Inc.",,,854644006016,"GLUTEN-FREE OATS * PEARS *HONEY * DRIED CHERRIES (TART CHERRIES, SUGAR) * WHEY PROTEIN CONCENTRATE * APPLE JUICE * WALNUTS * DRY MILK * SUNFLOWER OIL * CINNAMON * VANILLA EXTRACT * ASCORBIC ACID (VITAMIN C).",,68.0,g,1 BAR,En. tyčinky,LI,,2018-04-28,2019-04-01,United States,,,,,1003,10.29,,70.0,,,,,,,Protein,G
10986,469695,branded_food,"NATIVE AMERICAN NATURAL FOODS, TANKA BAR, BAR - TURKEY & BUFFALO WITH CRANBERRIES",,2019-04-01,Native American Natural Foods,,,897737001703,"TURKEY, CRANBERRIES (CRANBERRIES, SUGAR), BUFFALO, COFFEE, SEA SALT, HATCH CHILE PEPPER, ENCAPSULATED LACTIC ACID, CELERY JUICE POWDER, BLACK PEPPER, GRANULATED GARLIC, NUTMEG, SPICES, GINGER, CINNAMON CLOVE.",,28.0,g,1 BAR,En. tyčinky,LI,,2018-02-14,2019-04-01,United States,,,,,1004,5.36,,70.0,,,,,,,Lipid (tuk),G
10987,469695,branded_food,"NATIVE AMERICAN NATURAL FOODS, TANKA BAR, BAR - TURKEY & BUFFALO WITH CRANBERRIES",,2019-04-01,Native American Natural Foods,,,897737001703,"TURKEY, CRANBERRIES (CRANBERRIES, SUGAR), BUFFALO, COFFEE, SEA SALT, HATCH CHILE PEPPER, ENCAPSULATED LACTIC ACID, CELERY JUICE POWDER, BLACK PEPPER, GRANULATED GARLIC, NUTMEG, SPICES, GINGER, CINNAMON CLOVE.",,28.0,g,1 BAR,En. tyčinky,LI,,2018-02-14,2019-04-01,United States,,,,,1003,25.0,,70.0,,,,,,,Protein,G
12193,484639,branded_food,BREAKFAST BARS,,2019-04-01,KIND Inc.,,,602652201059,"OATS, DRIED CANE SYRUP, PEANUTS, CANOLA OIL, BROWN RICE FLOUR, OAT FLOUR, PEANUT BUTTER (PEANUTS, SALT), GUM ACACIA, WATER, RAISIN PASTE, PEANUT OIL, PEANUT FLOUR, SALT, MILLET, HONEY, BUCKWHEAT, AMARANTH, QUINOA, VITAMIN E (TO MAINTAIN FRESHNESS).",,50.0,g,2 BARS,En. tyčinky,LI,,2018-07-14,2019-04-01,United States,,,,,1004,22.0,,70.0,,,,,,,Lipid (tuk),G
12194,484639,branded_food,BREAKFAST BARS,,2019-04-01,KIND Inc.,,,602652201059,"OATS, DRIED CANE SYRUP, PEANUTS, CANOLA OIL, BROWN RICE FLOUR, OAT FLOUR, PEANUT BUTTER (PEANUTS, SALT), GUM ACACIA, WATER, RAISIN PASTE, PEANUT OIL, PEANUT FLOUR, SALT, MILLET, HONEY, BUCKWHEAT, AMARANTH, QUINOA, VITAMIN E (TO MAINTAIN FRESHNESS).",,50.0,g,2 BARS,En. tyčinky,LI,,2018-07-14,2019-04-01,United States,,,,,1003,10.0,,70.0,,,,,,,Protein,G
